texto,sentimento
A solução que encontramos é genial e simples ao mesmo tempo.,POSITIVO
O preço da gasolina está variando muito.,NEUTRO
A irresponsabilidade dele com as tarefas é inaceitável.,NEGATIVO
Que prazer em receber um elogio sincero!,POSITIVO
A impressora está sem conexão com a internet.,NEUTRO
O sabor amargo e ruim da bebida me fez cuspir.,NEGATIVO
A capacidade de liderança dela é inspiradora.,POSITIVO
O novo aplicativo requer uma atualização de segurança.,NEUTRO
A crise de pânico me deixou completamente fora de mim.,NEGATIVO
A dedicação e o esforço foram a chave para o sucesso.,POSITIVO
O prazo para a entrega do projeto foi de um mês.,NEUTRO
O desrespeito à lei é um sinal de falta de civilidade.,NEGATIVO
O sorriso daquela criança é a coisa mais linda do mundo.,POSITIVO
"O total da compra foi de R$ 85,50.",NEUTRO
A falta de perspectiva me causa uma tristeza imensa.,NEGATIVO
"O atendimento foi rápido, eficiente e muito cordial.",POSITIVO
O relatório aponta para um crescimento de 3% no próximo ano.,NEUTRO
O barulho da moto do vizinho me tira o sono.,NEGATIVO
A solução que ele propôs é brilhante e muito criativa.,POSITIVO
A reunião foi transferida para a sala B.,NEUTRO
A sensação de fracasso após o investimento foi devastadora.,NEGATIVO
A atitude de coragem dele foi crucial para o salvamento.,POSITIVO
O livro foi publicado em mais de 10 idiomas.,NEUTRO
O preço do aluguel está abusivo e injusto.,NEGATIVO
O novo software é extremamente fácil de usar e intuitivo.,POSITIVO
O computador está exibindo uma mensagem de erro.,NEUTRO
O cheiro de podridão no cesto de lixo é insuportável.,NEGATIVO
Que alegria imensa em poder compartilhar este momento!,POSITIVO
A previsão de chuva é de 10 milímetros para a noite.,NEUTRO
A falta de segurança no parque é um perigo constante.,NEGATIVO
A nova política de benefícios é muito vantajosa para todos.,POSITIVO
O valor da multa de trânsito foi pago ontem.,NEUTRO
A má gestão da crise causou um prejuízo imenso.,NEGATIVO
A paisagem da praia ao amanhecer é um espetáculo divino.,POSITIVO
O trem para o Rio de Janeiro parte da plataforma principal.,NEUTRO
Fiquei chocado com o nível de crueldade daquela pessoa.,NEGATIVO
"Ele é um verdadeiro mentor, com conselhos valiosos.",POSITIVO
A encomenda chegou em uma caixa amassada.,NEUTRO
A arrogância dele em todas as discussões é irritante.,NEGATIVO
A nova interface do aplicativo é muito mais agradável de usar.,POSITIVO
O relatório de vendas será apresentado na próxima semana.,NEUTRO
A negligência com o problema causou um desastre.,NEGATIVO
O ambiente de trabalho é acolhedor e altamente produtivo.,POSITIVO
A bicicleta tem cinco marchas e freio a disco.,NEUTRO
A atitude desrespeitosa dele na reunião foi inaceitável.,NEGATIVO
Que sensação de liberdade ao caminhar na montanha!,POSITIVO
O valor do imposto predial aumentou 5%.,NEUTRO
A falta de transparência da empresa me deixou desconfiado.,NEGATIVO
A culinária deste restaurante é uma experiência inesquecível.,POSITIVO
O computador está sem acesso à internet.,NEUTRO
O cheiro de podre da fruta estragada era nauseante.,NEGATIVO
A dedicação dela aos estudos é um exemplo de esforço.,POSITIVO
O prazo para a entrega do currículo é hoje.,NEUTRO
A irresponsabilidade dele com os animais é de partir o coração.,NEGATIVO
O novo sistema de filtragem de água é genial e eficiente.,POSITIVO
A reunião de pauta será conduzida pelo editor-chefe.,NEUTRO
O tratamento médico foi doloroso e ineficaz.,NEGATIVO
O sorriso sincero dela me acalmou em um momento difícil.,POSITIVO
O carro precisa de um alinhamento e balanceamento.,NEUTRO
A lentidão do processo de aprovação é frustrante.,NEGATIVO
A iniciativa de sustentabilidade da empresa é admirável.,POSITIVO
O número de telefone de contato mudou.,NEUTRO
A falta de perspectiva me causa uma dor imensa.,NEGATIVO
O novo método de ensino é divertido e muito eficaz.,POSITIVO
O livro de história tem 300 páginas.,NEUTRO
Fui alvo de bullying na escola e isso me traumatizou.,NEGATIVO
A sensação de dever cumprido é a melhor recompensa de todas.,POSITIVO
O valor da passagem de ônibus aumentou.,NEUTRO
A ineficiência do serviço de correios é lamentável.,NEGATIVO
"Ele é um verdadeiro amigo, sempre presente e leal.",POSITIVO
O documento deve ser assinado pelo gerente.,NEUTRO
O preço do ingresso é um roubo.,NEGATIVO
"A performance musical foi impecável, um show de talento.",POSITIVO
O relatório aponta um aumento de 10% nas vendas.,NEUTRO
O cheiro de esgoto na rua é nauseante.,NEGATIVO
O novo design do produto é elegante e muito moderno.,POSITIVO
A máquina de lavar está fazendo um barulho estranho.,NEUTRO
A falta de respeito do atendente me deixou furioso.,NEGATIVO
A atitude de gratidão dele é tocante e inspiradora.,POSITIVO
O prazo de validade do produto é de 1 ano.,NEUTRO
A arrogância do chefe é insuportável.,NEGATIVO
A solução que encontramos é inovadora e muito simples.,POSITIVO
O contrato será renovado em três meses.,NEUTRO
A perda do meu animal de estimação me deixou muito triste.,NEGATIVO
Que notícia maravilhosa para começar o dia!,POSITIVO
O número de série do aparelho é X123Y456Z789.,NEUTRO
A falta de paciência dele é um grande problema.,NEGATIVO
A vista do alto do prédio é deslumbrante.,POSITIVO
O relatório de segurança aponta falhas graves.,NEUTRO
O descaso com os mais velhos é uma vergonha.,NEGATIVO
A generosidade dela para com os necessitados é admirável.,POSITIVO
O valor da mensalidade da academia é de 150 reais.,NEUTRO
A crise econômica gerou muita insegurança.,NEGATIVO
A sensação de paz e conforto na minha casa é única.,POSITIVO
"O novo modelo de celular tem tela de 6,5 polegadas.",NEUTRO
O tratamento que recebi foi negligente e irresponsável.,NEGATIVO
O novo empreendimento é um sucesso estrondoso.,POSITIVO
O documento foi redigido em português e inglês.,NEUTRO
A irresponsabilidade dele causou um acidente grave.,NEGATIVO
A comida estava fresquinha e o tempero estava perfeito.,POSITIVO
A reunião de planejamento durou a manhã inteira.,NEUTRO
O barulho constante da rua me impede de trabalhar.,NEGATIVO
O abraço da minha mãe é o melhor conforto do mundo.,POSITIVO
O prazo de entrega do pedido é de 5 dias úteis.,NEUTRO
Fui vítima de uma fraude e perdi todo o meu dinheiro.,NEGATIVO
A beleza daquela flor exótica me encantou.,POSITIVO
O relatório foi enviado para todos os diretores.,NEUTRO
A falta de perspectiva de crescimento me frustrou.,NEGATIVO
A solução proposta é brilhante e muito criativa.,POSITIVO
O valor da conta de energia elétrica está alto.,NEUTRO
O cheiro forte de perfume na sala é insuportável.,NEGATIVO
O sorriso dela é a coisa mais bonita que já vi.,POSITIVO
O computador travou durante a instalação.,NEUTRO
A situação de abandono do local é deprimente.,NEGATIVO
A nova estratégia de vendas é muito mais eficaz.,POSITIVO
O avião para Londres decola às 18h.,NEUTRO
O custo da cirurgia é proibitivo para a maioria.,NEGATIVO
Que alegria em poder reencontrar meus amigos!,POSITIVO
O total de participantes no evento foi de 200 pessoas.,NEUTRO
A falta de perspectiva de emprego me desanima.,NEGATIVO
A atitude de coragem e heroísmo deve ser reconhecida.,POSITIVO
O prazo de entrega para o produto é de 48 horas.,NEUTRO
O preço daquele ingresso é exorbitante.,NEGATIVO
O show foi eletrizante e a banda estava incrível.,POSITIVO
O relatório contém dados sobre a taxa de inflação.,NEUTRO
A atitude rude e desrespeitosa dele estragou a noite.,NEGATIVO
A nova ferramenta de trabalho é fantástica e muito útil.,POSITIVO
O documento deve ser preenchido à caneta azul.,NEUTRO
O cheiro de lixo acumulado na rua é insuportável.,NEGATIVO
A sensação de dever cumprido me traz grande paz.,POSITIVO
O celular está com 50% de bateria.,NEUTRO
A imprudência dele ao dirigir causou um susto.,NEGATIVO
Ele é a pessoa mais gentil e prestativa que conheço.,POSITIVO
O valor da fatura deve ser pago até a próxima semana.,NEUTRO
A lentidão do serviço online me causou muita raiva.,NEGATIVO
Que notícia maravilhosa! Estou muito feliz.,POSITIVO
O prédio tem uma nova política de reciclagem.,NEUTRO
A falta de empatia dele me chocou profundamente.,NEGATIVO
O novo design do apartamento é moderno e funcional.,POSITIVO
A encomenda foi entregue no endereço errado.,NEUTRO
O custo de vida na cidade está muito caro.,NEGATIVO
A beleza daquela obra de arte é de tirar o fôlego.,POSITIVO
O resultado da pesquisa foi inconclusivo.,NEUTRO
A negligência com os equipamentos causou um prejuízo.,NEGATIVO
A oportunidade de crescimento na empresa é incrível.,POSITIVO
O trem para a cidade parte a cada 30 minutos.,NEUTRO
O preço está abusivo para a qualidade oferecida.,NEGATIVO
A dedicação e o carinho dela com a família são exemplares.,POSITIVO
O relatório final será divulgado amanhã.,NEUTRO
O barulho constante do vizinho é de enlouquecer.,NEGATIVO
O novo sistema de gestão de projetos é genial.,POSITIVO
A reunião de planejamento durou duas horas.,NEUTRO
A insegurança nas ruas aumentou drasticamente.,NEGATIVO
O sorriso sincero da criança acalmou o ambiente.,POSITIVO
O contrato de trabalho tem validade de um ano.,NEUTRO
A má vontade do atendente me tirou a paciência.,NEGATIVO
A nova política de sustentabilidade é um grande avanço.,POSITIVO
A temperatura no deserto chega a 50 graus.,NEUTRO
A falta de consideração me deixou muito magoado.,NEGATIVO
Ele é um profissional de uma competência notável.,POSITIVO
O livro tem 15 capítulos no total.,NEUTRO
A crise hídrica deixou a população em pânico.,NEGATIVO
A sensação de vitória após o desafio é indescritível.,POSITIVO
O valor da diária no hotel é de 200 reais.,NEUTRO
A falta de higiene no local é repugnante.,NEGATIVO
A proposta de parceria é muito promissora.,POSITIVO
O computador precisa ser formatado.,NEUTRO
O tratamento recebido foi humilhante e desnecessário.,NEGATIVO
O carinho e a atenção dele me fizeram sentir amado.,POSITIVO
O relatório aponta para um déficit de 50 mil reais.,NEUTRO
O descaso com os animais abandonados é deprimente.,NEGATIVO
A doçura daquele bebê é de derreter o coração.,POSITIVO
A nova regra será implementada a partir de segunda.,NEUTRO
O cheiro de queimado vindo da cozinha é forte.,NEGATIVO
A solução encontrada é brilhante e muito simples.,POSITIVO
O número de protocolo do seguro é 9876.,NEUTRO
A situação de emergência causou pânico generalizado.,NEGATIVO
A vista do terraço é a mais linda da cidade.,POSITIVO
O prazo para a conclusão da obra é de 12 meses.,NEUTRO
A falta de vagas de emprego me causa ansiedade.,NEGATIVO
O novo método de ensino é divertido e eficaz.,POSITIVO
A conta de telefone veio com valor incorreto.,NEUTRO
A irresponsabilidade com as tarefas é inaceitável.,NEGATIVO
O gesto de solidariedade deles foi um ato de amor.,POSITIVO
A reunião será conduzida pelo diretor executivo.,NEUTRO
O abandono da obra é um sinal de má gestão.,NEGATIVO
Que alegria enorme em poder te ajudar neste projeto!,POSITIVO
O preço do bilhete de trem aumentou neste mês.,NEUTRO
O tratamento que recebi foi negligente e me causou dor.,NEGATIVO
"O novo aplicativo é rápido, seguro e muito útil.",POSITIVO
O relatório final será entregue em formato digital.,NEUTRO
A falta de profissionalismo dele é notória.,NEGATIVO
A beleza daquela paisagem natural me acalmou.,POSITIVO
O total de vendas no último trimestre foi de R$ 1 milhão.,NEUTRO
O preço do produto está muito acima do valor justo.,NEGATIVO
O ambiente de trabalho é harmonioso e inspirador.,POSITIVO
A data limite para a entrega do TCC é dezembro.,NEUTRO
Fiquei completamente desamparado na hora que mais precisei.,NEGATIVO
"Ele é um verdadeiro amigo, um presente na minha vida.",POSITIVO
O número de habitantes na cidade é de 2 milhões.,NEUTRO
O cheiro de podridão na rua é insuportável e nauseante.,NEGATIVO
O feedback que recebi foi construtivo e muito encorajador.,POSITIVO
O valor do imposto foi parcelado em 5 vezes.,NEUTRO
A ineficiência do processo me causou muita frustração.,NEGATIVO
O novo sistema de segurança é robusto e confiável.,POSITIVO
O relatório será apresentado em PowerPoint.,NEUTRO
A notícia da perda me deixou desolado e sem chão.,NEGATIVO
"A performance da artista foi impecável, pura arte.",POSITIVO
O computador está sem acesso à rede Wi-Fi.,NEUTRO
O barulho alto da música impede a concentração.,NEGATIVO
A sensação de felicidade após a formatura é imensa.,POSITIVO
O prazo de validade do passaporte é de 10 anos.,NEUTRO
O preço cobrado pelo serviço é um abuso.,NEGATIVO
A solução tecnológica é genial e inovadora.,POSITIVO
A reunião foi adiada para a próxima semana.,NEUTRO
A falta de perspectiva me causa um sofrimento profundo.,NEGATIVO
A atitude de bondade dele me tocou profundamente.,POSITIVO
"O valor do curso é de R$ 500,00.",NEUTRO
A falta de respeito do líder com a equipe é vergonhosa.,NEGATIVO
